title_english,Action,Girls Love,Boys Love,Adventure,Avant Garde,Erotica,Gourmet,Slice of Life,Mystery,Horror,Drama,Award Winning,Sci-Fi,Fantasy,Supernatural,Comedy,Sports,Hentai,Suspense,Ecchi,Romance
"Ceres, Celestial Legend",0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
Boys Be...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Hana Yori Dango,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Jing: King of Bandits,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Jing: King of Bandits - Seventh Heaven,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Burst Angel,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chuuka Ichiban!,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Corrector Yui,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
The Cosmopolitan Prayers,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Stellvia,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Cromartie High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
El Hazard: The Alternative World,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
El-Hazard: The Wanderers,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
El Hazard: The Magnificent World,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
El Hazard 2: The Magnificent World,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Final Approach,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Fruits Basket,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Fullmetal Alchemist,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Searching for the Full Moon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
Mysterious Play,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mysterious Play: Eikoden,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Twin Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Futakoi Alternative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Gate Keepers,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Gate Keepers 21,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Saiyuki,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Saiyuki Reload,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Saiyuki Gunlock,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Getbackers,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Green Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Gunslinger Girl,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Hikaru no Go,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Hunter x Hunter,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hunter x Hunter: Original Video Animation,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hunter x Hunter: Greed Island,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hunter x Hunter: Greed Island Final,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jinki: Extend,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kamikaze Kaitou Jeanne,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
Destiny of the Shrine Maiden,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Kanon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
His and Her Circumstances,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
This Ugly Yet Beautiful World,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
Rumbling Hearts,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Diamond Daydreams,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Loveless,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Blood+,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
Re: Cutie Honey,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Solty Rei,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Twelve Kingdoms,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
