title_english,score,scored_by
Nisekoi: False Love,7.56,663542.0
Nisekoi: False Love Season 2,7.34,430765.0
Nisekoi: OVA,7.05,52596.0
Nisekoimonogatari,6.77,18899.0
Nisemonogatari,8.13,434132.0
Nishio no Yatsuzou,5.17,110.0
Nishitetsu CMs,5.24,134.0
Nisoku Hokou,6.49,1333.0
Nissan Serena x One Piece 3D: Straw Hat Chase - Infiltrate!!,6.5,4925.0
Nisshin Seifun Group CMs,5.98,855.0
Nissin Chikin Ramen CMs,6.02,682.0
Nissin Men-nashi Donbei x Himote House,5.13,324.0
Nissin no Donbei x Kemono Friends,5.95,1187.0
Nitaboh,7.28,3492.0
No Doubt,7.21,1567.0
No Doubt In Us,7.73,3870.0
No Doubt In Us 2nd Season,7.78,1764.0
"No Game, No Life",8.06,1547977.0
"No Game, No Life Specials",6.77,92069.0
"No Game, No Life: Zero",8.18,478553.0
"No Game, No Life: Zero - Manner Movie",6.79,11154.0
No Guns Life,6.86,75918.0
No Guns Life Season 2,7.08,31344.0
No Home PV,6.17,181.0
No Littering,3.62,3352.0
No Longer Allowed In Another World,7.33,4686.0
No Money,6.13,25783.0
No Money Omake episodes,5.86,1994.0
No Rhyme Nor Reason,6.71,295.0
No Waifu No Life!,6.03,637.0
No Way Out,5.45,1221.0
No-Rin,6.74,80578.0
No. 6,7.56,207202.0
No.2,6.08,109.0
Nobiro Nobiro Daisuki na Ki,5.64,193.0
Noblesse,6.89,127870.0
Noblesse: Awakening,7.38,64334.0
Noblesse: Pamyeol-ui Sijak,7.25,25153.0
Nobody's Boy Remi,7.86,5382.0
Nobunaga Concerto,7.53,23728.0
Nobunaga Teacher's Young Bride,5.31,37110.0
Nobunaga the Fool,6.64,38667.0
Nobunagun,6.66,31074.0
Noctambulist,6.15,155.0
NocturnaL,6.63,415.0
Nodame Cantabile,8.26,130432.0
Nodame Cantabile Finale,8.23,70142.0
Nodame Cantabile Finale OVA,7.55,15453.0
Nodame Cantabile OVA,7.42,14614.0
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,7.8,22902.0
Nodame Cantabile: Nodame to Chiaki no Umi Monogatari,7.35,16172.0
Nodame Cantabile: Paris-hen,8.13,75861.0
Noein: to your other self,7.56,30534.0
Noel's Fantastic Trip,5.42,213.0
Noir,7.28,40152.0
Noiseman Sound Insect,6.45,5107.0
Noisy Birth,4.65,3128.0
NoisyCell x Ponkotsu Quest,4.91,259.0
Non Non Biyori,7.94,177240.0
Non Non Biyori Movie: Vacation,8.24,37676.0
Non Non Biyori Nonstop,8.37,48488.0
Non Non Biyori Nonstop: Our Club Worked Hard,8.14,10241.0
Non Non Biyori Repeat,8.18,102124.0
Non Non Biyori Repeat: Hotaru Had Fun,7.86,25523.0
Non Non Biyori: We're Going to Okinawa,7.64,36789.0
Non-Breath Oblige,6.52,240.0
Non-Human,7.09,1020.0
Non-Human Academy,6.28,449.0
Non-tan to Issho,6.12,133.0
"Nonbiri to,",6.05,350.0
Nonnon,5.89,136.0
Nono-chan,6.09,251.0
Nonsense Bungaku (2022),6.2,301.0
"Nonsense Story, Volume 1: Monkey Island",5.07,436.0
Noobow: Kieta Medal,5.46,148.0
Noobow: Na Kokoro,5.7,117.0
Noozles,6.01,419.0
Nora,4.29,1712.0
Nora to Oujo to Noraneko Heart: Nora Fuku Ekichou Shuunin-shiki,5.26,586.0
"Nora, Princess, and Stray Cat",5.39,15056.0
Noragami,7.94,1279718.0
Noragami Aragoto,8.15,902372.0
Noragami Aragoto OVA,7.85,138930.0
Noragami OVA,7.71,186476.0
Norakuro,6.01,130.0
Norakuro Ittouhei,5.18,238.0
Norakuro Nitouhei,5.39,234.0
Norakuro-kun,6.1,162.0
Noramimi,6.1,161.0
Noraneko,5.99,4166.0
Norimono Oukoku BuBu ChaCha,6.64,443.0
Norn9,6.55,33131.0
Norn9: Norn+Nonet - Unmei no Megami,6.17,2404.0
Nose Tale,4.74,195.0
Nosewasure: Onna Kyoushi Chuuzenji Ayano no Inutsu na Kore kara,5.85,2042.0
Nosferatu,4.9,213.0
Nosferatu Maiden,5.99,393.0
Nostalgia,5.4,189.0
Notari Matsutarou,5.81,212.0
Notation of Rotating Earth,5.25,142.0
Notes on Monstropedia,5.64,205.0
Nothing's Gonna Change,4.77,258.0
Nothing's Working Out,6.06,139.0
Nou Nen feat. Utae,4.75,364.0
Nougyou Musume!,5.12,922.0
Novoland Eagle Flag,6.63,139.0
Now & Then,6.14,145.0
Now It's Time to Go! Log Horizon,6.76,7799.0
"Now and Then, Here and There",7.59,43157.0
Nowhereland,5.04,302.0
Nowisee,6.54,355.0
Nozo x Kimi,6.36,15948.0
Nozoki Ana,6.45,28498.0
Nozoki Kanojo,5.98,2002.0
Nozomi In The Sun,6.36,736.0
Nozomi Witches,6.25,867.0
Nude Batter Tetsuo,4.64,443.0
Nudist Beach ni Shuugaku Ryokou de!! The Animation Special,6.7,751.0
Nudl Nude,4.97,265.0
Nudl Nude 2,4.78,230.0
Nuki Doki! Tenshi to Akuma no Sakusei Battle,6.89,6324.0
Nuki Doki! Tenshi to Akuma no Sakusei Battle - Revolution,6.4,3763.0
Null & Peta,6.39,10139.0
Null Peta: Doki♥ Nurunuru Petapeta! Mizugi-darake no Oneechan Taikai!,5.63,1981.0
Nulu-chan and Me,5.32,238.0
Nura: Rise of the Yokai Clan,7.61,119276.0
Nura: Rise of the Yokai Clan - Demon Capital,7.3100000000000005,44900.5
Nurarihyon no Mago OVA,7.69,10725.0
Nurarihyon no Mago Recaps,6.37,7056.0
Nurarihyon no Mago: Gekitou Dai Futsal Taikai! Nuragumi W Cup!!,6.44,2713.0
Nurse Angel Ririka SOS,6.88,1643.0
Nurse Me!,6.08,1383.0
Nurse Witch Komugi,6.64,6591.0
Nurse Witch Komugi R,5.98,4674.0
Nurse Witch Komugi-chan Magikarte Special,6.37,2867.0
Nurse Witch Komugi-chan Magikarte Z,6.62,3046.0
Nutcracker Fantasy,6.17,370.0
Nutsberry Town,6.64,567.0
Nuwa Chengzhang Riji,6.22,669.0
Nyamen,5.44,183.0
Nyamen: Tenkai Daiichi Joshi Koukou Bunka Matsuri Tokubetsu Eizou,5.75,115.0
Nyan Koi!,7.12,136892.0
Nyanbo!,6.34,2432.0
Nyancos: Hello! Our Brilliant Future,4.81,167.0
Nyancos: Hello! Our Brilliant Future Digest,4.95,112.0
Nyani ga Nyandaa Nyandaa Kamen,6.78,690.0
Nyanko Days,6.62,35749.0
Nyanpire The Animation,6.65,14854.0
Nyaruko: Crawling With Love!,6.98,153657.0
Nyaruko: Crawling With Love! Second Season,7.21,93569.0
Nymphs of the Stratosphere,5.65,1159.0
Nyochio Is Coming☆Yay☆Yay☆Yay☆,6.01,121.0
Nyoron! Churuya-san,6.48,17335.0
Nyuru Nyuru!! Kakusen-kun,5.6,165.0
Nyuuin Bokki Monogatari: Odaijini!,5.88,145.0
O Light,6.39,193.0
O Maidens in Your Savage Season,7.31,154294.0
O-parts: Oman,4.71,681.0
ORESUKI Are you the only one who loves me?,7.3,246702.0
ORESUKI Are you the only one who loves me? - Our Playball / Our End Run / Our Game,7.56,65872.0
OTMGirls no Yokiyoki Channel: Birthday Special Story,5.48,250.0
OZ,5.36,551.0
Obake Zukan,5.69,177.0
Obake de Ii kara Hayaku Kite,5.48,134.0
Obake no Q-tarou,6.05,443.0
Obake no Q-tarou (1985),6.19,471.0
Obake no... Holly,5.88,344.0
Oban Star-Racers,7.51,25111.0
Obey Me!,7.16,15331.0
Obey Me! Season 2,7.08,3943.0
Obey Me!: Makai Dai Ryokou!,7.05,2611.0
Oblivion Battery,7.49,9705.0
Oblivion Island: Haruka and the Magic Mirror,7.32,4487.0
Obocchama-kun,6.06,366.0
Obsolete,5.92,2055.0
Occult Academy,7.03,43284.0
Occult Academy Specials,6.51,4630.0
Occultic;Nine,6.89,71037.0
Ocha-ken: Chokotto Monogatari,6.26,500.0
Ochi Mono RPG Seikishi Luvilias,6.86,4058.0
Ochibi-san,6.32,244.0
Oda Cinnamon Nobunaga,6.58,7939.0
Odd Taxi,8.66,218532.0
Odd Taxi Movie: In the Woods,6.3,8602.0
Odd Taxi Picture Drama,5.83,774.0
Odekake Kozame,7.32,797.0
Odekake Kozame x Chiba-ken Kuro Ajillo,6.14,293.0
Odin: Starlight Mutiny,5.18,1596.0
Odo,7.45,828.0
Odoru Mowai-kun,5.16,259.0
Oedo wa Nemurenai!,5.38,552.0
Offering My Virginity to a Gangster,6.16,858.0
Office Affairs,4.86,507.0
Official Channel of OTMGirls,5.62,280.0
Offside,5.68,135.0
Offside (TV),7.11,1812.0
Offside Girl,3.91,804.0
Ofuro no Kazoe Uta,4.93,216.0
Ogaki Matsuri ni Ikou yo!,5.67,238.0
Ogami Matsugorou,5.58,393.0
Ogenki Clinic,5.73,976.0
Ogre Slayer,6.19,1317.0
Oh Baby Plus,5.25,108.0
Oh Dear,5.35,860.0
Oh My Sex Goddess,6.45,2942.0
Oh Yoko!,4.44,742.0
Oh! Crock,5.34,132.0
Oh! Edo Rocket,7.18,4759.0
Oh! Family,6.13,532.0
Oh! My Goddess,7.28,27430.0
Oh! My Goddess: The Adventures of Mini-Goddess,6.88,10417.0
"Oh, Suddenly Egyptian God",6.59,3487.0
"Oh, Suddenly Egyptian God 2",6.6,1124.0
Ohayou Hakushon Daimaou,5.77,121.0
Ohayou Ninja-tai Gatchaman,5.44,190.0
Ohayou! Spank,6.68,1868.0
Ohayou! Spank (Movie),5.92,145.0
Ohedo Julia-Night,6.9,685.0
Oi Pii-tan!!,4.56,247.0
Oi-san to 40 no Monogatari,5.51,123.0
Oide yo! Mizuryuu Kei Land,7.24,8885.0
Oide yo! Shiritsu Yarimakuri Gakuen,6.87,3863.0
Oira Sukeban,5.22,1050.0
Oishinbo,6.96,976.0
"Oishinbo: Kyuukyoku tai Shikou, Chouju Ryouri Taiketsu!!",6.15,257.0
Oishinbo: The Japan-America Rice War,6.09,268.0
Ojamajo Carnival!!,7.62,755.0
Ojamajo Doremi Dokkaan!,7.71,8156.0
Ojamajo Doremi Na-i-sho,7.8,5448.0
Ojamajo Doremi OVA,6.76,642.0
Ojamajo Doremi Sharp,7.44,11414.0
Ojamajo Doremi Sharp Movie,7.19,2490.0
Ojamajo Doremi: Heartwarming Theater,6.72,168.0
Ojamajo Doremi: Owarai Gekijou,6.31,557.0
Ojiichan ga Kaizoku Datta Koro,5.26,199.0
Ojiisan no Densha,5.3,125.0
Ojiisan no Lamp,7.5,10175.0
Ojisan and Marshmallow,6.57,36165.0
Ojisan and Marshmallow Episode 13: Hige-san and Marshmallow,6.03,9226.0
Ojisan de Umeru Ana The Animation,6.56,529.0
Ojisan to Sakana,5.1,115.0
Ojousama wa H ga Osuki: The Animation,7.12,4820.0
Ojousama☆Yomeiri Kousou!,6.88,4406.0
Ok? Alright!,5.37,545.0
Okaasan no Kao,5.15,126.0
Okama Report,5.84,224.0
Okami-San and Her Seven Companions,7.16,130675.0
Okamikakushi: Masque of the Wolf,6.3,31352.0
Okashi na Sabaku no Suna to Manu,5.64,217.0
Okashina Hotel,5.17,818.0
Okawari-Boy Starzan-S,6.05,474.0
Okko's Inn,7.0600000000000005,5803.5
Okon Joururi,6.07,192.0
"Okoshiyasu, Chitose-chan Recaps",5.74,244.0
Okubyou na Venus,5.33,430.0
Okusama ga Seitokaichou! OVA: Okusama Gekijou,6.63,5055.0
Okusama no Kaifuku Jutsu The Animation,6.83,778.0
Okusama wa Joshikousei,5.09,539.0
Okusama wa Michael,6.16,1569.0
Okusama wa Moto Yariman,7.02,6221.0
Old City Ward,5.41,440.0
Old Man Goichi,5.16,233.0
"Old Master Q & ""San-T""",5.83,163.0
Old Master Q and Little Ocean Tiger,5.65,115.0
Olympic Games on Dankichi Island,4.27,880.0
Omamori Himari,6.83,121764.0
Omishi Mahou Gekijou: Risky★Safety,6.55,1605.0
Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,4.64,808.0
Omoi Au Christmas 2011,5.22,121.0
Omoi no Kakera,6.48,2863.0
Omoide no Album,4.86,245.0
Omoide wa Kireide,6.2,195.0
Omoikou,6.6,427.0
On A Paper Crane: Tomoko's Adventure,6.24,353.0
On Air Dekinai!,5.86,219.0
On Your Mark,7.46,19486.0
"On a Forest, in the Air",5.1,179.0
On a Lustful Night Mingling with a Priest,4.69,17193.0
On-Gaku: Our Sound,7.59,4860.0
Ona x2,5.46,960.0
Onahole Classroom,7.17,3557.0
Onaka no Ookina Oujisama,5.21,238.0
Onami,4.89,258.0
Onara Goro,5.53,7476.0
Once Upon a Time,6.47,4300.0
Once Upon a Time... Life,7.16,1462.0
One Day of Noa,6.1,144.0
One Hundred Thousand Bad Jokes,6.32,199.0
One Hundred Thousand Years of Qi Refining,7.35,472.0
One Off,6.39,6389.0
One Outs,8.33,116887.0
One Piece,8.72,1357262.0
One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends,7.85,56807.0
One Piece 3D: Racing! Trap Coaster,6.79,9796.0
One Piece 3D: Straw Hat Chase,6.91,34054.0
One Piece 4D,6.37,1085.0
One Piece Film: Gold,7.88,134252.0
One Piece Film: Gold - Cine Mike Popcorn Advertisement,6.35,2970.0
One Piece Film: Gold Episode 0 - 711 ver.,7.2,13202.0
One Piece Film: Red,7.82,100220.0
One Piece Film: Strong World,8.06,161055.0
One Piece Film: Strong World Episode 0,7.93,48605.0
One Piece Film: Z,8.12,182366.0
One Piece x Kawaisouni: Kono Boushi wo Omae ni Azukeru,6.02,220.0
One Piece: A Comprehensive Anatomy! Fierce Fight! The Five from the New Generation,6.63,2056.0
One Piece: A Comprehensive Anatomy! The Legend of Kozuki Oden!,6.52,2236.0
One Piece: A Project to Fully Enjoy! `Surgeon of Death` Trafalgar Law,6.48,1155.0
One Piece: A Very Special Feature! Momonosuke's Road to Becoming a Great Shogun,6.24,1032.0
One Piece: Adventure in the Ocean's Navel,7.17,19634.0
One Piece: Adventure of Nebulandia,7.24,23598.0
One Piece: Baron Omatsuri and the Secret Island,7.76,63728.0
One Piece: Barto's Secret Room,6.22,6569.0
One Piece: Chopper Kingdom of Strange Animal Island,6.85,50816.0
One Piece: Clockwork Island Adventure,7.09,59599.0
One Piece: Cry Heart,6.46,3778.0
One Piece: Dead End Adventure,7.52,59217.0
One Piece: Defeat the Pirate Ganzack!,6.69,22089.0
One Piece: Departure to the Starry Sky,6.38,391.0
One Piece: Django's Dance Carnival,7.13,23667.0
One Piece: Dream Soccer King,7.09,25372.0
"One Piece: Emergency Planning, A Perfect Strategy for the One Piece",7.06,7350.0
One Piece: Episode of Alabasta - Prologue,7.18,7399.0
One Piece: Episode of Alabasta - The Desert Princess and the Pirates,7.31,39630.0
"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura",7.44,35868.0
One Piece: Episode of East Blue - Luffy and His Four Crewmates' Great Adventure,7.86,22619.0
One Piece: Episode of Luffy - Adventure on Hand Island,7.56,27996.0
One Piece: Episode of Merry - The Tale of One More Friend,8.19,32437.0
One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends,8.11,39158.0
"One Piece: Episode of Sabo - Bond of Three Brothers, A Miraculous Reunion and an Inherited Will",7.71,21533.0
One Piece: Episode of Skypiea,7.18,14115.0
One Piece: Glorious Island,7.15,14858.0
One Piece: Heart of Gold,7.49,41791.0
One Piece: Infection Prevention Message from the Straw Hat Pirates,6.19,1152.0
One Piece: Long Ring Long Land Arc,6.75,3240.0
One Piece: Making History! The Turbulent Old and New Four Emperors!,6.26,503.0
One Piece: New Year's Special - The Secret of the Straw Hat Pirates!,6.53,814.0
"One Piece: Open Upon the Great Sea! A Father's Huge, HUGE Dream!",7.19,16261.0
One Piece: Protect! The Last Great Performance,7.3,15302.0
One Piece: Recapping Fierce Fights! Straw Hats vs. Tobi Roppo,6.4,1608.0
One Piece: Recapping Fierce Fights! The Countercharge Alliance vs. Big Mom,6.57,1440.0
One Piece: Recapping Fierce Fights! Zoro vs. a Lead Performer!,6.56,1502.0
One Piece: Romance Dawn Story,7.33,27600.0
One Piece: Romance Dawn Story - Recapping the TV Series So Far,7.13,9224.0
One Piece: Stampede,8.2,120876.0
One Piece: Take Aim! The Pirate Baseball King,6.97,19618.0
One Piece: The Captain's Log of the Legend! Red-Haired Shanks!,6.81,2953.0
One Piece: The Curse of the Sacred Sword,7.11,48203.0
One Piece: The Detective Memoirs of Chief Straw Hat Luffy,7.19,17351.0
One Piece: The Giant Mechanical Soldier of Karakuri Castle,7.18,41981.0
One Piece: The Log of the Rivalry! The Straw Hats vs. Cipher Pol,6.42,865.0
One Piece: The Movie,7.09,79221.0
One Piece: The Planetarium,6.43,409.0
One Pound Gospel,6.37,2626.0
One Punch Man,8.49,2254582.0
One Punch Man Season 2,7.52,1036070.0
One Punch Man Season 2 Commemorative Special,7.02,27545.0
One Punch Man Season 2 Specials,7.4,59186.0
One Punch Man Specials,7.7,182451.0
One Punch Man: Road to Hero,7.7,187638.0
One Room,5.56,49644.0
One Room 2nd Season: Hanasaka Yui's Prologue,5.78,6161.0
One Room Special,5.49,9598.0
One Room: Second Season,6.09,22581.0
One Room: Second Season Special,5.67,4261.0
One Room: Third Season,6.43,13846.0
One Week Friends,7.52,148652.0
One and Three Four,5.42,258.0
One in a Billion,6.21,122.0
One of Us,6.29,223.0
One's Mind,6.48,283.0
One-Million Year Trip: Bander Book,5.92,1161.0
One: Kagayaku Kisetsu e,5.03,1653.0
One: Kagayaku Kisetsu e - True Stories,6.2,1646.0
Oned,5.36,162.0
Oneechan ga Kita,6.32,62462.0
Oneechan ga Kita: Hajimete no… Kitaa!,6.45,15721.0
Onegai My Melody,7.29,5209.0
Onegai My Melody Sukkiri♪,6.9,907.0
Onegai My Melody: Kurukuru Shuffle!,7.3,1922.0
Onegai My Melody: Yuu & Ai,6.16,291.0
Onegai! Samia Don,6.91,702.0
Onegai☆Teacher: Experience,6.12,111.0
Onegai☆Teacher: Reminiscence Disc,6.64,1841.0
Onegai♪My Melody Kirara★,6.52,515.0
Oneshota The Animation,6.86,4532.0
Ongaku wa Tomatta,5.42,114.0
Ongeki,5.4,245.0
Oni,6.04,1039.0
Oni Chichi 2,6.64,12820.0
Oni Chichi 2: Harvest,6.63,6675.0
Oni Chichi 2: Revenge,6.73,8600.0
Oni Chichi: Re-birth,7.01,18781.0
Oni Chichi: Re-born,7.25,17115.0
Oni Chichi: Rebuild,7.11,12619.0
Oni Chichi: Refresh♥,6.84,8503.0
Oni Chichi: Vacation,6.73,6779.0
Oni Love Song,4.99,216.0
Oni-Tensei,6.08,1074.0
Oni: Thunder God's Tale,6.95,215.0
OniAi,6.42,138944.0
OniAi Specials,6.21,16960.0
Onigiri,5.33,10281.0
Onihei,7.29,15264.0
Onihei Pilot,5.85,254.0
"Onihei: Sono Otoko, Heizou Hasegawa",6.41,802.0
Oniichan Asa made Zutto Gyutte Shite!,6.77,3189.0
Oniichan Zurui,5.41,107.0
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special,6.26,7749.0
Onikiri Musume Saisen,6.11,380.0
Onikiri Shoujo,4.89,293.0
Oniku Daisuki! Zeushi-kun,5.47,189.0
Oniku Daisuki! Zeushi-kun 2nd Season,5.74,131.0
Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,5.71,125.0
Onimai: I'm Now Your Sister!,7.67,72727.0
Onimusha,6.55,4886.0
Onimusha: Dawn of Dreams,5.81,491.0
Onipan!,6.48,4396.0
Oniwa no Soto,5.37,138.0
Onizushi,5.55,155.0
Only My Oppai Soul,6.94,4373.0
Only Yesterday,7.44,77828.0
Only Your Stars! (Trickstar Ver.),6.09,151.0
Onmyoji,6.95,3128.0
Onmyouji Ayakashi no Megami: Inran Jubaku,5.76,1789.0
Onmyouji: Youen Emaki,5.58,749.0
Onna Kyoushi Nijuusan-sai,5.57,629.0
Onna Kyoushi: Nikutai Jugyou,5.37,516.0
Onna Spy Goumon: Teki no Ajito wa Jotai Goumonsho,4.75,182.0
Onna no Sono no Hoshi,6.38,232.0
Onnanoko dake ga Wakaru Uta: Only Girls Get It,5.41,119.0
Onnanoko tte.,5.46,172.0
Onomatopoeia Rap: Natsu Asobi-hen,6.45,174.0
Ontama!,6.62,1252.0
Ontology,6.28,113.0
Onyankopon,4.47,805.0
Ooedo Forty Eight,5.68,531.0
Ooi no Teiou,5.67,155.0
Ooi! Hanimaru,4.82,167.0
Ookami Heart,6.22,979.0
Ookami Kodomo no Ame to Yuki x House Shokuhin Stew CM,5.49,1349.0
Ookami Shoujo to Kuro Ouji Recap,6.81,6756.0
Ookami Shounen Ken,5.84,481.0
Ookina Furudokei (1973),5.37,106.0
Oomuro-ke: Dear Sisters,7.81,2094.0
Oosouji,5.6,657.0
Open Your Mind,5.81,1297.0
Operation Han-Gyaku-Sei Million Arthur,6.01,8158.0
Operation Han-Gyaku-Sei Million Arthur 2nd Season,6.29,4833.0
Opette,5.3,120.0
Oppai Gakuen Marching Band-bu!,6.89,3348.0
Oppai Heart: Kanojo wa Kedamono Hatsujouki!?,6.74,3594.0
Oppai Infinity∞! The Animation,6.42,2004.0
Oppai ga Ippai,4.74,269.0
Opus.COLORs,5.73,1960.0
Oraa Guzura Dado,5.96,130.0
Oraa Guzura Dado (1987),6.12,401.0
Orange,7.18,201724.5
Orange: Mirai,7.46,52106.0
Orangutan,4.9,176.0
Orchestra,5.08,378.0
Orchestra of Smiles!,6.19,1442.0
Orchid★Emblem,5.42,662.0
Order Designer,5.21,450.0
Order Designer Recap,5.43,116.0
Ore ga Kanojo wo *su Wake,6.46,4458.0
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken Specials",6.45,9175.0
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai Specials,5.62,7132.0
Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai,6.41,2906.0
Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie,6.48,3360.0
Ore no Sora Keiji-hen,5.93,181.0
Ore wa Kanojo wo Shinjiteru!,6.29,4817.0
Ore wo Suki nano wa Omae dake ka yo: Ore wa Teinei ni Susumeru,6.68,15130.0
"Ore, Tsushima x Na Mo Naki Nezumi",5.68,195.0
"Ore, Twintail ni Narimasu. Recap",5.82,674.0
OreImo,6.94,389898.0
OreImo 2,6.9,265804.0
OreImo 2 Specials,6.31,91631.0
OreImo Specials,7.33,122072.0
Oreca Battle,5.91,851.0
Oreimo Animated Commentary,6.72,8339.0
Oresama Kingdom,6.27,901.0
Oreshura,6.91,293298.0
Oretacha Youkai Ningen,5.48,177.0
Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,6.4,5805.0
Organic,5.19,214.0
Ori no Naka no Soloist PV,5.86,227.0
Ori-Princess,6.31,149.0
Orient,6.61,41153.0
Orient: Awajishima Gekitou-hen,7.05,20643.0
Orientation,5.8,103.0
Origami of Landscape,5.05,318.0
Origin: Spirits of the Past,7.05,36273.0
Original,5.69,175.0
Original Dirty Pair: Flight 005 Conspiracy,6.76,2351.0
Original Eigakan Manner Eizou,5.29,156.0
Original Video Romance Animation,4.67,223.0
Orphen,7.08,16193.0
Orphen 2: Revenge,6.76,7617.0
Oruchuban Ebichu,7.36,20346.0
Osake wa Fuufu ni Natte kara: Yuzu Atsukan,7.05,16402.0
Osamake: Romcom Where The Childhood Friend Won't Lose,6.07,119872.0
Osamishi Tani no Wakare Uta,5.12,190.0
Osamu Tezuka's Last Mystery of the 20th Century,6.36,318.0
Osamu and Musashi,6.08,209.0
Osananajimi to Doukyuusei,5.74,1136.0
Osaru no Tairyou,5.01,338.0
Oscar's Oasis,6.63,1074.0
Oseam,7.1,1990.0
Oshaburi Announcer,6.84,2464.0
Oshiego ni Kyouhaku Sareru no wa Hanzai desu ka?,5.62,234.0
Oshiete Mahou no Pendulum: Rilu Rilu Fairilu,6.44,450.0
Oshin,6.24,401.0
Oshioki: Gakuen Reijou Kousei Keikaku,6.34,1872.0
Oshiri Kajiri Mushi,4.66,471.0
Oshiri Mae Man,5.27,106.0
Oshiri Tantei: Mina to Machi no Tuk-tuk Chase,5.32,131.0
Oshizuka ni,5.36,143.0
Oshougatsuda yo! Pokemon Special!,5.93,235.0
Osiris no Tenbin,5.76,164.0
Osomatsu-kun,6.41,854.0
Osomatsu-kun (1988),6.73,1801.0
Osomatsu-kun (1988): Appare! Chibita no Onitaiji zansu,6.0,175.0
Osomatsu-kun: Iyami wa Hitori Kaze no Naka,6.04,178.0
Osomatsu-kun: Suika no Hoshi kara Konnichiwa zansu!,5.96,210.0
Osomatsu-san 3rd Season,7.39,8091.0
Osomatsu-san Movie: Gekijou Koukai Kinen - Original Tanpen Gekijou,6.28,289.0
Osomatsu-san Short Film Series 2nd Season,5.88,357.0
Osomatsu-san x Mameshiba,5.29,201.0
Osomatsu-san: Haru no Zenkoku Dai Senbatsu Jouei-sai - Sentou Quiz 2,5.98,239.0
Osomatsu-san: Hipipo-Zoku to Kagayaku Kajitsu,6.5,451.0
Osomatsu-san: Ouma de Kobanashi,7.22,4249.0
Osomatsu-san: Tamashii no Takoyaki Party to Densetsu no Otomarikai,6.88,358.0
Otaku Elf,7.27,23297.0
"Otaku ni Yasashii Gal toka, Kyonyuu no Osananajimi toka.",6.23,2314.0
Otaku no Seiza,5.33,674.0
Otaku no Video,7.12,14221.0
Otanjoubi Omedetou,5.67,127.0
Other Worlds,6.24,10427.0
Otherside Picnic,6.64,40789.0
Otherworldly Evil Monarch,6.52,166.0
Otoboku: Maidens are Falling for Me!,7.02,26737.0
Otoboku: Maidens are Falling for Me! Special,6.62,6482.0
Otogi,7.24,1001.0
Otogi Juushi Akazukin OVA,6.31,717.0
Otogi Manga Calendar,5.97,164.0
Otogi Zoshi: The Legend of Magatama,6.91,4674.0
Otogi no Kuni no Birthday,5.04,209.0
Otogibanashi no Onigokko,5.94,1247.0
Otoko Ippiki Gaki Daishou,6.38,499.0
Otokonoko ♂ Delivery,5.78,6442.0
Otome Chibaku Yuugi,6.34,1872.0
Otome Chic,5.82,445.0
Otome Dori,5.52,10871.0
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... Voice Drama,6.25,635.0
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… Movie,6.71,549.0
Otome Juurin Yuugi: Maiden Infringement Play,6.22,1709.0
Otome Nadeshiko Koi Techou,5.85,2903.0
Otome Youkai Zakuro Picture Drama,6.29,1647.0
Otome no Inori,6.12,335.0
Otome wa Boku ni Koishiteru: Futari no Elder The Animation,6.78,6667.0
Otome wa Boku ni Koishiteru: Trinkle Stars The Animation,5.55,922.0
Otome wa Boku ni Koishiteru: Trinkle Stars The Animation (2022),5.71,1056.0
Otome*Domain The Animation,6.69,2201.0
Otona Joshi no Anime Time,7.36,7439.0
Otona ni Natta Alice,5.24,122.0
Otousan wa Ai no Hito,6.35,381.0
Otsukimi Recital,7.04,2129.0
"Ouch, Chou Chou",5.45,230.0
Oujo & Onna Kishi W Do Gehin Roshutsu,5.74,1979.0
Oumagatoki,5.23,120.0
Our Baseball Match,5.33,1167.0
Our Dating Story: The Experienced You and The Inexperienced Me,6.74,71400.0
Our Home's Fox Deity,7.18,12145.0
Our Jury Story,5.37,149.0
Our Last Crusade or the Rise of a New World,6.68,133400.0
Our Last Crusade or the Rise of a New World Season 2,7.19,1535.0
Our Little Pond,6.39,127.0
Our Realization Arc,5.51,166.0
Our love has always been 10 centimeters apart.,7.46,94392.0
Ouran High School Host Club,8.16,685162.0
Ouritsu Uchuugun: Honneamise no Tsubasa Pilot,5.94,870.0
Ours,7.14,1413.0
