title_english,score,scored_by
A Christmas Song,5.58,287.0
A Clerk in Charge,4.27,386.0
A Clockwork Truffe,5.54,127.0
A Condition Called Love,6.73,27385.0
A Couple of Cuckoos,6.89,107544.0
A Dark Rabbit has Seven Lives,6.5,59281.0
A Dark Rabbit has Seven Lives Picture Drama,6.12,2005.0
A Day Before Us,7.24,10062.0
A Day Before Us 2,7.41,8026.0
A Day Before Us Zero,7.19,8963.0
A Day after a Hundred Years,5.35,274.0
A Destructive God Sits Next to Me,6.63,21130.0
A Dog of Flanders,7.35,2233.0
A Dog of Flanders: My Patrasche,7.0,912.0
A Farewell to Arms,6.89,4770.0
A Feather Stare at the Dark,5.04,700.0
A Fiction Spiral,6.08,560.0
A Forbidden Time,6.07,3549.0
A Foreign Love Affair,6.91,24952.0
A Friend Who Was Good at Drawing,5.57,693.0
A Galaxy Next Door,7.14,55538.0
A Gaze in Summer 1942,4.56,308.0
A Girl & Her Guard Dog,5.66,23690.0
A Girl Who’s Afraid Of Touching People,5.47,125.0
A Good Day for a Dream,6.48,121.0
A Good Librarian Like a Good Shepherd,6.84,58326.0
A Grandma's Goldfish,6.2,758.0
A Great Super Shot Boy,6.12,552.0
A Gum Boy,4.87,693.0
A Heat for All Seasons,5.79,960.0
"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized",6.73,7517.0
A Hot Night With My Boss in a Capsule Hotel,5.58,6423.0
A Hundred Percents,5.16,255.0
A Japanese Boy Who Draws,7.0,510.0
A Jewish Girl in Shanghai,5.62,165.0
A Journey Through Another World: Raising Kids While Adventuring,6.83,2948.0
A Journey Through Fairyland,6.42,980.0
A Journey to Hiroshima,5.91,191.0
A Kiss for the Petals: Becoming Your Lover,7.23,25513.0
A Komaneko Christmas: The Lost Present,6.1,232.0
A Letter to Momo,7.57,35435.0
A Little Princess Sara,7.67,10428.0
A Little Snow Fairy Sugar,7.07,10974.0
A Log Day of Timbre,4.44,560.0
A Lot of Life,6.34,376.0
A Lull in the Sea,7.95,258332.0
A Nameless Day,5.53,140.0
A New Journey,6.06,1265.0
A Nobody's Way Up to an Exploration Hero,6.56,3125.0
A Piece of Phantasmagoria,6.2,1522.0
A Place Further Than The Universe,8.51,219715.0
A Place Where There Are Moths,4.27,651.0
A Play,4.56,443.0
A Playthrough of a Certain Dude's VRMMO Life,6.39,34288.0
A Poet's Life,5.67,775.0
A Portrait Of Jianghu: Bad Guys,6.42,458.0
A Portrait of Jianghu: Mourning Toast,6.3,262.0
A Portrait of Keiichi Tanaami,4.63,224.0
A Predator in a Skirt,5.43,21186.0
A Record of Mortal's Journey to Immortality Season 3,7.84,333.0
A Record of Mortal's Journey to Immortality: Speeding in the Sea of Stars,7.71,600.0
A Record of a Mortal's Journey to Immortality Season 2,7.87,1266.0
A Reflection of One's Mind,6.47,206.0
A Returner's Magic Should Be Special,7.07,61301.0
A Ripple in Time,6.12,754.0
A Rule Of Dreams,3.88,1087.0
A Salad Bowl of Eccentrics,7.3,19321.0
A Sea Doesn't Tell Much,4.55,288.0
A Ship of Oranges,4.61,696.0
A Sign of Affection,8.24,95822.0
A Sign of Affection Mini Anime,6.21,391.0
A Silent Voice,8.93,1632397.0
A Silent Voice Specials,7.1,7066.0
A Sister's All You Need,7.26,157424.0
A Smart Experiment,4.08,489.0
A Story of Cigarettes,5.02,728.0
A Strange Kind of Woman,7.26,12168.0
A Summer-Colored Miracle,7.01,15965.0
A Sumo Wrestler's Tail,6.57,503.0
A Thirty-Year Old's Health and Physical Education,6.62,26791.0
A Thousand and One Nights,6.09,2209.0
A Town Where You Live,6.82,64032.0
A Town Where You Live: Crossing at Twilight,7.18,19921.0
A Traveller's Diary,7.04,12100.0
A Traveller's Diary Specials,6.3,4940.0
A Tree of Palme,6.57,2921.0
A Viva Non Non,5.96,163.0
A Whisker Away,7.34,269411.0
A Whistle,4.07,514.0
A Will Eternal,7.94,4796.0
A Will Eternal 2nd Season,8.14,1902.0
A Wind Named Amnesia,6.31,8583.0
A Wolf is a Wolf,5.12,266.0
A Woman in a Fashion Building,4.33,453.0
A brightening life,5.47,259.0
A song for You! You? You!!,6.99,1329.0
A-Channel,6.93,45096.0
A-Channel+smile,7.09,11558.0
A-Channel: +A-Channel,6.95,9866.0
A-Channel: Let's Eat Hot Pot,6.86,3231.0
A-Girl,5.56,1946.0
A-Size Classmate,5.67,4308.0
A-jang.com,5.7,239.0
A-ra-shi: Reborn,6.07,774.0
A.A,5.2,159.0
A.D. Police: To Protect and Serve,5.91,4662.0
A.F,4.19,689.0
A.I.C.O. Incarnation,6.53,55650.0
A.LI.CE,4.63,762.0
A.U.F.L. : au Unlimited Future Laboratory,6.02,4512.0
A3! Season Autumn & Winter,7.26,7302.0
A3! Season Spring & Summer,7.11,11630.0
AAside,5.82,323.0
ABC Tenkiyohou,5.74,131.0
ABCiee Working Diary,5.43,1485.0
ACCA: 13-Territory Inspection Department - Regards,7.15,7151.0
ACCA: 13-Territory Inspection Dept.,7.66,70604.0
ACCA: 13-ku Kansatsu-ka Specials,6.81,3385.0
AD Police Files,6.24,7316.0
AEON,5.56,135.0
AHO-GIRL,6.73,276903.0
AI Football GGO 2,6.72,195.0
AICis the Supernatural,5.89,181.0
AIKa R-16: Virgin Mission,5.88,10403.0
AIKa Zero,5.86,7424.0
AIKa Zero Picture Drama,5.52,2108.0
AIKa: Special Trial,5.62,3504.0
AIUEO Anime Sekai no Douwa: Aesop Monogatari Anime Series,6.34,171.0
AKB0048,7.35,28940.0
AKB0048: Next Stage,7.62,20368.0
AKB48 Stage Fighter,5.07,458.0
AMAIM Warrior at the Borderline,6.32,10912.0
AMAIM Warrior at the Borderline Part 2,6.54,5168.0
AMAIM: Warrior at the Borderline UltraSteel Ogre-Gear,5.76,730.0
ANNA (kidnapper),4.59,734.0
AOTU Shijie 2,6.19,165.0
AOTU World,6.35,228.0
ARP Backstage Pass,5.53,1886.0
ARP Backstage Pass: Celebrate Good Time - Short Stories,5.34,416.0
ARP Backstage Pass: Paradise,5.74,353.0
"ASTROBOY - VISITOR OF 100,000 LIGHT -YEARS IGZA-",6.42,341.0
AWOL,5.3,429.0
Aa Harimanada,6.08,861.0
Aachi and Ssipak,6.56,4938.0
Ab-rah,5.43,228.0
Abandon: 100 Nuki Shinai to Derarenai Fushigi na Kyoushitsu,6.21,1148.0
Abashiri Ikka,5.28,1802.0
Abe George Kattobi Seishun Ki: Shibuya Honky Tonk,5.33,158.0
Absolute Duo,6.42,316934.0
Absolutely Lovely Children Recap,6.38,858.0
Abstract feat. Alkama,5.0,376.0
Abstractions Void,6.22,106.0
Abunai Sisters: Koko & Mika,2.56,4940.0
Accel World,7.21,390257.0
Accel World EX,7.09,60172.0
Accel World: Acchel World.,6.17,19174.0
Accel World: Infinite∞Burst,6.62,30639.0
Accelerando: Datenshi-tachi no Sasayaki,6.82,5610.0
Acchi Kocchi: Place=Princess,7.46,33701.0
Ace Attorney,6.52,59599.0
Ace Attorney 6 Prologue,6.52,2155.0
Ace Attorney Season 2,7.17,17660.0
