title_english,Horror,Boys Love,Suspense,Adventure,Girls Love,Sci-Fi,Erotica,Hentai,Fantasy,Romance,Drama,Avant Garde,Award Winning,Sports,Action,Slice of Life,Comedy,Mystery,Ecchi,Gourmet,Supernatural,Cluster
Jing: King of Bandits - Seventh Heaven,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13
Burst Angel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chuuka Ichiban!,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,11
Corrector Yui,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
The Cosmopolitan Prayers,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2
Stellvia,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Cromartie High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
El Hazard: The Alternative World,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13
El-Hazard: The Wanderers,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,13
El Hazard: The Magnificent World,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,13
El Hazard 2: The Magnificent World,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13
Final Approach,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
Fruits Basket,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Fullmetal Alchemist,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2
Searching for the Full Moon,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,3
Mysterious Play,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
Mysterious Play: Eikoden,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,13
Twin Love,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Futakoi Alternative,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
Gate Keepers,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,10
Gate Keepers 21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Saiyuki,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
Saiyuki Reload,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,8
Saiyuki Gunlock,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,8
Getbackers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,12
Green Green,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
Gunslinger Girl,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Hikaru no Go,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,11
Hunter x Hunter,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Hunter x Hunter: Original Video Animation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Hunter x Hunter: Greed Island,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Hunter x Hunter: Greed Island Final,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Jinki: Extend,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamikaze Kaitou Jeanne,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,3
Destiny of the Shrine Maiden,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11
Kanon,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3
His and Her Circumstances,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
This Ugly Yet Beautiful World,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,3
Rumbling Hearts,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Diamond Daydreams,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Loveless,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11
Blood+,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,11
Re: Cutie Honey,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Solty Rei,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Twelve Kingdoms,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Shaman King,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
X - The Movie,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2
X,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2
Negima!,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,10
Maria Watches Over Us,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
The Melody of Oblivion,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
"Now and Then, Here and There",0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13
Peace Maker Kurogane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Pita-Ten,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,10
